,WordText,WordTextLower,CategoryLabel
134,the Best Pharmaceuticals for Children Act,the best pharmaceuticals for children act,ACT
135,the 5 year,the 5 year,DATE
136,the  Protect American Families,the  protect american families,ORG
137,Unnecessary Registration and Deportation,unnecessary registration and deportation,ORG
138,263,263,CARDINAL
139,265,265,CARDINAL
140,266,266,CARDINAL
141,1303,1303,DATE
142,Housing Fairness Act,housing fairness act,ACT
143,Housing and Urban Development,housing and urban development,ORG
144,561,561,CARDINAL
145,the Housing and Community Development Act,the housing and community development act,ACT
146,1987,1987,DATE
147,42 U.S.C. 3616a(h,42 u.s.c. 3616a(h,MONEY
148,42,42,CARDINAL
149,42 U.S.C. 3602,42 u.s.c. 3602,MONEY
150,15 U.S.C. 1601,15 u.s.c. 1601,DATE
151,the 180 day,the 180 day,DATE
152,section 553,section 553,LAW
153,5,5,CARDINAL
154,Authorization of Appropriations,authorization of appropriations,ORG
155,"15,000,000","15,000,000",MONEY
156,each of fiscal years 2018,each of fiscal years 2018,DATE
157,2022,2022,DATE
158,the Fair Housing Initiatives Program,the fair housing initiatives program,ORG
159,"42,500,000","42,500,000",MONEY
160,each of fiscal years 2015 through 2019,each of fiscal years 2015 through 2019,DATE
161,less than 75 percent,less than 75 percent,PERCENT
162,more than 10 percent,more than 10 percent,PERCENT
163,any of fiscal years 2015 through 2019,any of fiscal years 2015 through 2019,DATE
164,the Fair Housing Act,the fair housing act,ACT
165,"5,000,000","5,000,000",MONEY
166,this Act,this act,ACT
167,the Office of Management and Budget,the office of management and budget,ORG
168,Non Profit Organizations,non profit organizations,ORG
169,Science Success Act,science success act,ACT
170,the Small Business Administration,the small business administration,ORG
171,Commerce for Intellectual Property,commerce for intellectual property,ORG
172,the United States Patent and Trademark Office,the united states patent and trademark office,ORG
173,later than 6 months,later than 6 months,DATE
174,the Committee on Small Business of the House of Representatives,the committee on small business of the house of representatives,ORG
175,the Committee on Small Business and Entrepreneurship,the committee on small business and entrepreneurship,ORG
176,15,15,CARDINAL
177,15 U.S.C.,15 u.s.c.,MONEY
178,the House of Representatives,the house of representatives,ORG
179,4,4,CARDINAL
180,Treasury,treasury,ORG
181,Smithsonian Institution,smithsonian institution,ORG
182,Dorothy Vaughan,dorothy vaughan,PERSON
183,the Smithsonian Institution,the smithsonian institution,ORG
184,the National Museum of African American History and Culture,the national museum of african american history and culture,ORG
185,Mary Jackson,mary jackson,PERSON
186,a)(3)(B,a)(3)(b,ORG
187,51,51,CARDINAL
188,5134,5134,DATE
189,5136,5136,CARDINAL
190,31,31,CARDINAL
191,the United States Mint Public Enterprise Fund,the united states mint public enterprise fund,ORG
192,section 4,section 4,LAW
193,Congressional Gold Medals,congressional gold medals,ORG
194,Wanda Jackson,wanda jackson,PERSON
195,Notwithstanding,notwithstanding,GPE
196,Title I of the Omnibus Crime Control,title i of the omnibus crime control,LAW
197,1968,1968,DATE
198,34,34,CARDINAL
199,10101,10101,DATE
200,Grants,grants,ORG
201,National Pretrial Reporting Program The,national pretrial reporting program the,ORG
202,48 hours,48 hours,TIME
203,monthly,monthly,DATE
204,each fiscal year,each fiscal year,DATE
205,fiscal year 2018,fiscal year 2018,DATE
206,the Omnibus Crime Control,the omnibus crime control,ORG
207,34 U.S.C.,34 u.s.c.,DATE
208,the third fiscal year beginning,the third fiscal year beginning,DATE
209,the  No Money Bail Act,the  no money bail act,ACT
210,GAO,gao,ORG
211,later than 3 years,later than 3 years,DATE
212,the Comptroller General,the comptroller general,ORG
213,Findings,findings,PERSON
214,Section 201,section 201,LAW
215,42 U.S.C.,42 u.s.c.,DATE
216,2000a,2000a,DATE
217,Section 202,section 202,LAW
218,42 U.S.C. 2000a–1,42 u.s.c. 2000a–1,MONEY
219,Title II,title ii,PRODUCT
220,42 U.S.C. 2000c(b,42 u.s.c. 2000c(b,MONEY
221,42 U.S.C. 2000c–6,42 u.s.c. 2000c–6,MONEY
222,410,410,CARDINAL
223,2000d,2000d,DATE
224,Title VII of,title vii of,LAW
225,section 701,section 701,LAW
226,2000e,2000e,DATE
227,Section 1106,section 1106,LAW
228,Section 703 of,section 703 of,LAW
229,Section 704(b,section 704(b,ORG
230,2000e–3(b,2000e–3(b,CARDINAL
231,2000e–5(g)(2)(A,2000e–5(g)(2)(a,CARDINAL
232,Federal Government Section,federal government section,ORG
233,42 U.S.C. 2000e–16,42 u.s.c. 2000e–16,MONEY
234,1991,1991,DATE
235,1106,1106,DATE
236,1107,1107,DATE
237,1301,1301,DATE
238,1978,1978,DATE
239,Chapter 23,chapter 23,LAW
240,42 U.S.C. 2000h–2,42 u.s.c. 2000h–2,MONEY
241,Miscellaneous Title XI,miscellaneous title xi,PERSON
242,II,ii,ORG
243,III,iii,ORG
244,VI,vi,ORG
245,1101,1101,DATE
246,1979,1979,DATE
247,1980,1980,DATE
248,the Revised Statutes,the revised statutes,PRODUCT
249,1983,1983,DATE
250,1993,1993,DATE
251,Sections,sections,GPE
252,section 901,section 901,LAW
253,901,901,CARDINAL
254,42 U.S.C. 3631,42 u.s.c. 3631,MONEY
255,section 802 of this Act,section 802 of this act,ACT
256,Section 701(a)(1,section 701(a)(1,LAW
257,the Equal Credit Opportunity Act,the equal credit opportunity act,ACT
258,1691(a)(1,1691(a)(1,CARDINAL
259,702,702,CARDINAL
260,1691a,1691a,DATE
261,1691e,1691e,DATE
262,Chapter 121,chapter 121,LAW
263,the  National Opposition to Hate,the  national opposition to hate,ORG
264,Assault,assault,ORG
265,Threats,threats,NORP
266,the National Incident Based Reporting System,the national incident based reporting system,ORG
267,each fiscal year beginning,each fiscal year beginning,DATE
268,3 years,3 years,DATE
269,the Uniform Crime Reporting,the uniform crime reporting,ORG
270,the preceding fiscal year,the preceding fiscal year,DATE
271,Extensions,extensions,ORG
272,120 day,120 day,DATE
273,more than 5 years,more than 5 years,DATE
274,Hotline,hotline,ORG
275,section 2 of the Thirteenth Amendment to the Constitution of,section 2 of the thirteenth amendment to the constitution of,LAW
276,8,8,CARDINAL
277,the  Commerce Clause,the  commerce clause,ORG
278,Section 249,section 249,LAW
279,18,18,CARDINAL
280,121,121,CARDINAL
281,Donald John Trump,donald john trump,PERSON
282,Nazism,nazism,NORP
283,"August 15, 2017","august 15, 2017",DATE
284,Semites,semites,NORP
285,Ku Klux Klansmen,ku klux klansmen,PERSON
286,Charlottesville,charlottesville,GPE
287,Virginia,virginia,GPE
288,"August 7, 2017","august 7, 2017",DATE
289,Robert E. Lee,robert e. lee,PERSON
290,Confederate,confederate,ORG
291,"November 29, 2017","november 29, 2017",DATE
292,British,british,NORP
293,Muslims,muslims,NORP
294,Muslim,muslim,NORP
295,Dutch,dutch,NORP
296,Muslim Destroys a Statue of Virgin Mary,muslim destroys a statue of virgin mary,WORK_OF_ART
297,Islamist,islamist,NORP
298,"43,800,000","43,800,000",CARDINAL
299,Twitter,twitter,PRODUCT
300,Donald John Trump’s,donald john trump’s,PERSON
301,Article II,article ii,LAW
302,"January 27, 2017","january 27, 2017",DATE
303,DONALD J. TRUMP STATEMENT ON,donald j. trump statement on,PERSON
304,New York,new york,GPE
305,NY,ny,GPE
306,"December 7th, 2015","december 7th, 2015",DATE
307,Donald J. Trump,donald j. trump,PERSON
308,"July 26, 2017","july 26, 2017",DATE
309,the United States Government,the united states government,ORG
310,Transgender,transgender,ORG
311,the U.S. Military,the u.s. military,ORG
312,"September 23, 2017","september 23, 2017",DATE
313,NFL,nfl,ORG
314,"September 30, 2017","september 30, 2017",DATE
315,"October 3, 2017","october 3, 2017",DATE
316,Puerto Rico,puerto rico,GPE
317,"October 19, 2017","october 19, 2017",DATE
318,The Fake News,the fake news,WORK_OF_ART
319,Wilson,wilson,PERSON
320,SECRETLY,secretly,ORG
321,"October 21, 2017","october 21, 2017",DATE
322,Wacky Congresswoman,wacky congresswoman,PERSON
323,the Democrat Party,the democrat party,ORG
324,"October 22, 2017","october 22, 2017",DATE
325,the Republican Party,the republican party,ORG
326,Dems,dems,NORP
327,42 U.S.C. 2000a,42 u.s.c. 2000a,DATE
328,State Immunity A State,state immunity a state,ORG
329,701,701,CARDINAL
330,11,11,CARDINAL
331,the Age Discrimination,the age discrimination,ORG
332,1967,1967,DATE
333,29 U.S.C.,29 u.s.c.,MONEY
334,630,630,CARDINAL
335,12103,12103,DATE
336,the Voting Rights Act,the voting rights act,ACT
337,1965,1965,DATE
338,the 14th or 15th,the 14th or 15th,DATE
339,"Federal, State","federal, state",ORG
340,52,52,CARDINAL
341,Determination of States and Political Subdivisions Subject to Section 4,determination of states and political subdivisions subject to section 4,ORG
342,Section 4(b,section 4(b,LAW
343,52 U.S.C.,52 u.s.c.,DATE
344,Determination of States and Political Subdivisions Subject to Requirements,determination of states and political subdivisions subject to requirements,ORG
345,previous 15 years,previous 15 years,DATE
346,a calendar year,a calendar year,DATE
347,the previous 15 calendar years,the previous 15 calendar years,DATE
348,at least one,at least one,CARDINAL
349,January 1 of the year,january 1 of the year,DATE
350,10 years,10 years,DATE
351,1)(B,1)(b,DATE
352,1)(B)(ii,1)(b)(ii,CARDINAL
353,section 2,section 2,LAW
354,section 3(c,section 3(c,LAW
355,section 5,section 5,LAW
356,more than 10,more than 10,CARDINAL
357,each calendar year,each calendar year,DATE
358,the previous calendar year,the previous calendar year,DATE
359,the previous year,the previous year,DATE
360,Federal Register,federal register,ORG
361,the Federal Register,the federal register,ORG
362,Hispanic,hispanic,NORP
363,Latino,latino,PERSON
364,White,white,ORG
365,18 years of age or,18 years of age or,DATE
366,second,second,ORDINAL
367,7,7,CARDINAL
368,8),8),CARDINAL
369,Language Minority Groups Section,language minority groups section,ORG
370,10303(a)(1,10303(a)(1,CARDINAL
371,52 U.S.C. 10303(a)(5,52 u.s.c. 10303(a)(5,MONEY
372,52 U.S.C. 10301,52 u.s.c. 10301,DATE
373,Notice of Enacted Changes,notice of enacted changes,ORG
374,Notice of Changes,notice of changes,ORG
375,180 days,180 days,DATE
376,later than 48 hours,later than 48 hours,TIME
377,the 30th day,the 30th day,DATE
378,hours,hours,TIME
379,fewer than 48 hours,fewer than 48 hours,TIME
380,later than 10 days,later than 10 days,DATE
381,18 years of age or older,18 years of age or older,DATE
382,"greater than 10,000","greater than 10,000",CARDINAL
383,60 day,60 day,DATE
384,Clarification of Authority,clarification of authority,ORG
385,the 14th or 15th Amendment,the 14th or 15th amendment,DATE
386,10305(a,10305(a,DATE
387,Language Minority Groups Section 4(f,language minority groups section 4(f,ORG
388,10304,10304,DATE
389,15 U.S.C. 1691,15 u.s.c. 1691,MONEY
390,the  Pretrial Integrity and Safety Act,the  pretrial integrity and safety act,ACT
391,3 fiscal years,3 fiscal years,DATE
392,more than 6,more than 6,CARDINAL
393,"more than $10,000,000","more than $10,000,000",MONEY
394,"more than $6,500,000","more than $6,500,000",MONEY
395,"more than $3,500,000","more than $3,500,000",MONEY
396,"more than $5,000,000","more than $5,000,000",MONEY
397,less than 95 percent,less than 95 percent,PERCENT
398,less than 85 percent,less than 85 percent,PERCENT
399,later than 3 days,later than 3 days,DATE
400,later than 7 days,later than 7 days,DATE
401,Limitations,limitations,ORG
402,any fiscal year,any fiscal year,DATE
403,more than 2 percent,more than 2 percent,PERCENT
404,more than 25 percent,more than 25 percent,PERCENT
405,the  Coast Guard Academy Improvement Act,the  coast guard academy improvement act,ACT
406,the Coast Guard Academy,the coast guard academy,ORG
407,the United States Coast Guard Academy,the united states coast guard academy,GPE
408,Subtitle H,subtitle h,PERSON
409,2002,2002,DATE
410,6 U.S.C. 451,6 u.s.c. 451,MONEY
411,Coast Guard Academy,coast guard academy,ORG
412,the Coast Guard Academy Improvement Act,the coast guard academy improvement act,ACT
413,Academy,academy,ORG
414,later than 60 days,later than 60 days,DATE
415,Chair,chair,NORP
416,later than 30 days,later than 30 days,DATE
417,later than 90 days,later than 90 days,DATE
418,the Federal Advisory Committee Act,the federal advisory committee act,ACT
419,5 U.S.C. App,5 u.s.c. app,MONEY
420,later than 180 days,later than 180 days,DATE
421,Commandant,commandant,ORG
422,the Committees on Homeland Security,the committees on homeland security,ORG
423,Governmental Affairs and Commerce,governmental affairs and commerce,ORG
424,Science,science,ORG
425,an additional year,an additional year,DATE
426,one year,one year,DATE
427,the Chief Human Capital Officer,the chief human capital officer,ORG
428,the Coast Guard,the coast guard,ORG
429,section 182,section 182,LAW
430,14,14,CARDINAL
431,section 890B,section 890b,ORG
432,Beginning,beginning,EVENT
433,2021,2021,DATE
434,annually,annually,DATE
435,2031,2031,DATE
436,90 days,90 days,DATE
437,890C.,890c.,CARDINAL
438,section 1(b,section 1(b,LAW
439,later than one year,later than one year,DATE
440,Subtitle E,subtitle e,PERSON
441,6 U.S.C. 411,6 u.s.c. 411,MONEY
442,Department,department,ORG
443,Half,half,CARDINAL
444,the District of Columbia,the district of columbia,GPE
445,the United States Virgin Islands,the united states virgin islands,GPE
446,Resident,resident,ORG
447,Guam,guam,GPE
448,American Samoa,american samoa,ORG
449,Resident Commissioner,resident commissioner,PERSON
450,Nominations Notwithstanding,nominations notwithstanding,PERSON
451,less than 25 percent,less than 25 percent,PERCENT
452,182,182,CARDINAL
453,Homeland Security,homeland security,ORG
454,Coast Guard College Student Pre Commissioning Initiative,coast guard college student pre commissioning initiative,ORG
455,Chapter 9,chapter 9,LAW
456,the Coast Guard the College Student Pre Commissioning Initiative,the coast guard the college student pre commissioning initiative,ORG
457,The Commandant of the Coast Guard,the commandant of the coast guard,WORK_OF_ART
458,Officer Candidate School,officer candidate school,ORG
459,each academic year,each academic year,DATE
460,Coast Guard Academy Improvement Act,coast guard academy improvement act,ACT
461,Coast Guard,coast guard,ORG
462,the College Student Pre Commissioning Initiative,the college student pre commissioning initiative,ORG
463,42 U.S.C. 1973,42 u.s.c. 1973,DATE
464,Tribal,tribal,ORG
465,at least 6 months,at least 6 months,DATE
466,less than 6 months,less than 6 months,DATE
467,the same days,the same days,DATE
468,Indian Health Service,indian health service,ORG
469,Bureau of Indian Affairs,bureau of indian affairs,ORG
470,section 203,section 203,LAW
471,the National Voter Registration Act,the national voter registration act,ACT
472,52 U.S.C. 20506,52 u.s.c. 20506,DATE
473,previous 25 years,previous 25 years,DATE
474,the previous 25 calendar years,the previous 25 calendar years,DATE
475,10,10,CARDINAL
476,203,203,CARDINAL
477,9,9,CARDINAL
478,Determination of States and Political Subdivisions Subject to Preclearance for Covered Practices,determination of states and political subdivisions subject to preclearance for covered practices,ORG
479,the Bureau of the Census,the bureau of the census,ORG
480,20 percent,20 percent,PERCENT
481,a year,a year,DATE
482,the preceding decade,the preceding decade,DATE
483,"10,000","10,000",CARDINAL
484,52 U.S.C. 21083(b,52 u.s.c. 21083(b,MONEY
485,English,english,LANGUAGE
486,election day,election day,DATE
487,at least 20 percent,at least 20 percent,PERCENT
488,the United States District Court,the united states district court,GPE
489,60 days,60 days,DATE
490,the 60 day,the 60 day,DATE
491,section 2284,section 2284,LAW
492,28,28,CARDINAL
493,Purpose,purpose,ORG
494,"February 9, 2011","february 9, 2011",DATE
495,76,76,CARDINAL
496,Fed,fed,ORG
497,section 1151,section 1151,DATE
498,Alaska,alaska,GPE
499,the Alaska Native Claims Settlement Act,the alaska native claims settlement act,ACT
500,43 U.S.C.,43 u.s.c.,DATE
501,Alaska Native,alaska native,GPE
502,the Bureau of the Census for the,the bureau of the census for the,ORG
503,25 U.S.C. 5130,25 u.s.c. 5130,MONEY
504,10503(c,10503(c,DATE
505,section 21,section 21,LAW
506,section 9 of this Act,section 9 of this act,ACT
507,25,25,CARDINAL
508,Alaskan,alaskan,NORP
509,American Indians,american indians,ORG
510,U.S.C.,u.s.c.,ORG
511,1681,1681,DATE
512,Title VI,title vi,ORG
513,Title IX Religious Discrimination in Schools and Colleges,title ix religious discrimination in schools and colleges,LAW
514,the First Amendment to the Constitution of the United States,the first amendment to the constitution of the united states,LAW
515,22,22,CARDINAL
516,211a,211a,MONEY
517,section 360,section 360,LAW
518,8 U.S.C.,8 u.s.c.,DATE
519,1503,1503,DATE
520,the  Stop Harmful,the  stop harmful,ORG
521,every 5 years,every 5 years,DATE
522,Commerce for Communications and Information,commerce for communications and information,ORG
523,the Hate Crime Statistics Act,the hate crime statistics act,ACT
524,34 U.S.C. 41305,34 u.s.c. 41305,MONEY
525,Threatened,threatened,ORG
526,a)(1)(F,a)(1)(f,PERSON
527,the 30 day,the 30 day,DATE
528,the 45 day,the 45 day,DATE
529,45 day,45 day,DATE
530,fiscal years,fiscal years,DATE
531,the Higher Education Act,the higher education act,ACT
532,20,20,CARDINAL
533,Section 487(a,section 487(a,LAW
534,20 U.S.C. 1094(a,20 u.s.c. 1094(a,DATE
535,496(a)(5,496(a)(5,CARDINAL
536,28 U.S.C.,28 u.s.c.,MONEY
537,994,994,CARDINAL
538,Section 245,section 245,LAW
539,section 994,section 994,LAW
540,the United States Sentencing Commission,the united states sentencing commission,GPE
541,The Administrator of the Office of Juvenile Justice and Delinquency Prevention,the administrator of the office of juvenile justice and delinquency prevention,WORK_OF_ART
542,the Department of Justice,the department of justice,ORG
543,juveniles,juveniles,GPE
544,the Department of the Treasury,the department of the treasury,ORG
545,the Community Relations Service,the community relations service,ORG
546,"fiscal years 2017, 2018","fiscal years 2017, 2018",DATE
547,2019,2019,DATE
548,245,245,CARDINAL
549,Women’s Health Act,women’s health act,ACT
550,ovarian,ovarian,GPE
551,the Public Health Service Act,the public health service act,ACT
552,42 U.S.C. 243,42 u.s.c. 243,MONEY
553,the Preventive Services Guidelines of,the preventive services guidelines of,ORG
554,the Health Resources and Service Administration,the health resources and service administration,ORG
555,"October 30, 2017","october 30, 2017",DATE
556,"200,000,000","200,000,000",MONEY
557,each of fiscal years 2019,each of fiscal years 2019,DATE
558,300,300,CARDINAL
559,the  Foundation of the Federal Bar Association Charter Amendments Act,the  foundation of the federal bar association charter amendments act,ACT
560,36,36,CARDINAL
561,Section 70504,section 70504,LAW
562,70508,70508,CARDINAL
563,Section 70510,section 70510,LAW
564,Section 70512,section 70512,LAW
565,Section 4001,section 4001,LAW
566,Representatives,representatives,ORG
567,Declaratory Judgment,declaratory judgment,PERSON
568,fifteenth,fifteenth,ORDINAL
569,Section 1,section 1,LAW
570,1(a,1(a,CARDINAL
571,10301,10301,DATE
572,Finding of Constitutional Authority,finding of constitutional authority,ORG
573,section 3,section 3,LAW
574,An Act,an act,ACT
575,"June 18, 1929","june 18, 1929",DATE
576,later than 72 hours,later than 72 hours,TIME
577,3(d,3(d,CARDINAL
578,Notice of Final Adopted Congressional Redistricting Plan Not,notice of final adopted congressional redistricting plan not,ORG
579,2020,2020,DATE
580,"January 1, 2017","january 1, 2017",DATE
581,each of fiscal years 2017,each of fiscal years 2017,DATE
582,Title IV,title iv,PERSON
583,"State
 ","state
 ",ORG
584,"Biennial
 ","biennial
 ",ORG
585,section 4702,section 4702,DATE
586,"later than January 1, 2019","later than january 1, 2019",DATE
587,2 years,2 years,DATE
588,section 4703,section 4703,LAW
589,the  Intern Protection Act,the  intern protection act,ACT
590,section 701(h,section 701(h,DATE
591,42 U.S.C. 2000e(h,42 u.s.c. 2000e(h,MONEY
592,section 302(a)(1,section 302(a)(1,LAW
593,section 101,section 101,LAW
594,at least 40 years of age,at least 40 years of age,DATE
595,1311(a)(1,1311(a)(1,CARDINAL
596,section 4(a,section 4(a,LAW
597,Commission,commission,ORG
598,the Library of Congress,the library of congress,ORG
599,Board The Board,board the board,ORG
600,10(a)(3,10(a)(3,DATE
601,304,304,CARDINAL
602,Tomorrow,tomorrow,DATE
603,29 U.S.C. 3102,29 u.s.c. 3102,MONEY
604,Labor,labor,ORG
605,section 181,section 181,LAW
606,the first 5 full fiscal years,the first 5 full fiscal years,DATE
607,Section 134(d)(1)(A,section 134(d)(1)(a,LAW
608,the Workforce Innovation,the workforce innovation,ORG
609,Section 170,section 170,LAW
610,section 132(a)(2)(A,section 132(a)(2)(a,LAW
611,"40,000,000","40,000,000",MONEY
612,later than December 1 of each year,later than december 1 of each year,DATE
613,the Federal Bureau of Investigation,the federal bureau of investigation,ORG
614,Career,career,LOC
615,Technical Education Act,technical education act,ACT
616,the Carl D. Perkins Career,the carl d. perkins career,FAC
617,2006,2006,DATE
618,Section 9,section 9,LAW
619,2023,2023,DATE
620,Subparagraph,subparagraph,PERSON
621,section 112(a)(2,section 112(a)(2,LAW
622,"less than $100,000","less than $100,000",MONEY
623,20 U.S.C.,20 u.s.c.,DATE
624,Section 114(d,section 114(d,LAW
625,20 U.S.C. 2324(d,20 u.s.c. 2324(d,MONEY
626,20 U.S.C. 2342(c,20 u.s.c. 2342(c,MONEY
627,Section 123,section 123,LAW
628,20 U.S.C. 2343,20 u.s.c. 2343,DATE
629,section 124(b)(10,section 124(b)(10,LAW
630,the first program year,the first program year,DATE
631,113(c)(2)(A,113(c)(2)(a,CARDINAL
632,3 consecutive years,3 consecutive years,DATE
633,less than 10 percent,less than 10 percent,PERCENT
634,section 131,section 131,LAW
635,132,132,CARDINAL
636,section 135(b)(9,section 135(b)(9,LAW
637,Section 124(b,section 124(b,LAW
638,Section 134(b,section 134(b,LAW
639,20 U.S.C. 2355(b,20 u.s.c. 2355(b,MONEY
640,17,17,CARDINAL
641,Principles of Environmental Justice,principles of environmental justice,ORG
642,the First National People of Color Environmental Leadership Summit,the first national people of color environmental leadership summit,ORG
643,October 24,october 24,DATE
644,"27, 1991","27, 1991",DATE
645,Washington,washington,GPE
646,DC,dc,GPE
647,the Working Group,the working group,ORG
648,Executive Order,executive order,ORG
649,65,65,CARDINAL
650,50121,50121,DATE
651,"August 16, 2000","august 16, 2000",DATE
652,Working Group,working group,ORG
653,4321,4321,DATE
654,Federal Working Group on Environmental Justice,federal working group on environmental justice,ORG
655,Composition The Working Group,composition the working group,ORG
656,Agriculture,agriculture,ORG
657,Commerce,commerce,ORG
658,Energy,energy,ORG
659,Interior,interior,ORG
660,Transportation,transportation,ORG
661,the Office of Environmental Justice,the office of environmental justice,ORG
662,the Consumer Product Safety Commission,the consumer product safety commission,ORG
663,the Chemical Safety Board,the chemical safety board,ORG
664,the Office of Science and Technology Policy,the office of science and technology policy,ORG
665,the Council on Environmental Quality,the council on environmental quality,ORG
666,Domestic Policy,domestic policy,ORG
667,the National Economic Council,the national economic council,ORG
668,the Council of Economic Advisers,the council of economic advisers,ORG
669,the Environmental Protection Agency,the environmental protection agency,ORG
670,the Department of Health and Human Services,the department of health and human services,ORG
671,the Department of Housing and Urban Development,the department of housing and urban development,ORG
672,the Federal agency,the federal agency,ORG
673,Nondiscrimination Each Federal,nondiscrimination each federal,ORG
674,1969,1969,DATE
675,42 U.S.C. 4321,42 u.s.c. 4321,DATE
