billid,date,billstage,chambername,legistype
594,18-Jul-2017,ENGROSSED,House of Representatives,AN ACT
594,18-Jul-2017,ENGROSSED,House of Representatives,AN ACT
594,18-Jul-2017,ENGROSSED,House of Representatives,AN ACT
590,20-Jul-2017,ENGROSSED,House of Representatives,AN ACT
596,20-Jul-2017,ENGROSSED,House of Representatives,AN ACT
590,20-Jul-2017,ENGROSSED,House of Representatives,AN ACT
596,20-Jul-2017,ENGROSSED,House of Representatives,AN ACT
350,25-Jul-2017,ENGROSSED,House of Representatives,AN ACT
350,25-Jul-2017,ENGROSSED,House of Representatives,AN ACT
557,6-Sep-2017,ENGROSSED,House of Representatives,AN ACT
557,6-Sep-2017,ENGROSSED,House of Representatives,AN ACT
557,6-Sep-2017,ENGROSSED,House of Representatives,AN ACT
557,6-Sep-2017,ENGROSSED,House of Representatives,AN ACT
557,6-Sep-2017,ENGROSSED,House of Representatives,AN ACT
557,6-Sep-2017,ENGROSSED,House of Representatives,AN ACT
485,15-Feb-2018,ENGROSSED,House of Representatives,AN ACT
485,15-Feb-2018,ENGROSSED,House of Representatives,AN ACT
168,27-Feb-2018,ENGROSSED,House of Representatives,AN ACT
168,27-Feb-2018,ENGROSSED,House of Representatives,AN ACT
590,16-Apr-2018,ENGROSSED,House of Representatives,AN ACT
590,16-Apr-2018,ENGROSSED,House of Representatives,AN ACT
590,16-Apr-2018,ENGROSSED,House of Representatives,AN ACT
590,16-Apr-2018,ENGROSSED,House of Representatives,AN ACT
525,7-May-2018,ENGROSSED,House of Representatives,AN ACT
525,7-May-2018,ENGROSSED,House of Representatives,AN ACT
576,9-May-2018,ENGROSSED,House of Representatives,AN ACT
576,9-May-2018,ENGROSSED,House of Representatives,AN ACT
576,9-May-2018,ENGROSSED,House of Representatives,AN ACT
576,9-May-2018,ENGROSSED,House of Representatives,AN ACT
525,22-May-2018,ENGROSSED,House of Representatives,AN ACT
525,22-May-2018,ENGROSSED,House of Representatives,AN ACT
525,22-May-2018,ENGROSSED,House of Representatives,AN ACT
525,22-May-2018,ENGROSSED,House of Representatives,AN ACT
525,22-May-2018,ENGROSSED,House of Representatives,AN ACT
525,22-May-2018,ENGROSSED,House of Representatives,AN ACT
521,19-Jun-2018,ENGROSSED,House of Representatives,AN ACT
521,19-Jun-2018,ENGROSSED,House of Representatives,AN ACT
542,16-Jul-2018,ENGROSSED,House of Representatives,AN ACT
542,16-Jul-2018,ENGROSSED,House of Representatives,AN ACT
159,23-Aug-2018,ENGROSSED,House of Representatives,AN ACT
159,23-Aug-2018,ENGROSSED,House of Representatives,AN ACT
304,5-Sep-2018,ENGROSSED,House of Representatives,AN ACT
304,5-Sep-2018,ENGROSSED,House of Representatives,AN ACT
413,6-Sep-2018,ENGROSSED,House of Representatives,AN ACT
413,6-Sep-2018,ENGROSSED,House of Representatives,AN ACT
50,26-Sep-2018,ENGROSSED,House of Representatives,AN ACT
50,26-Sep-2018,ENGROSSED,House of Representatives,AN ACT
456,5-Apr-2017,ENROLLED,House of Representatives,AN ACT
456,5-Apr-2017,ENROLLED,House of Representatives,AN ACT
592,8-Jun-2017,ENROLLED,House of Representatives,AN ACT
592,8-Jun-2017,ENROLLED,House of Representatives,AN ACT
592,28-Jun-2017,ENROLLED,House of Representatives,AN ACT
592,28-Jun-2017,ENROLLED,House of Representatives,AN ACT
592,28-Jun-2017,ENROLLED,House of Representatives,AN ACT
592,28-Jun-2017,ENROLLED,House of Representatives,AN ACT
592,28-Jun-2017,ENROLLED,House of Representatives,AN ACT
592,28-Jun-2017,ENROLLED,House of Representatives,AN ACT
140,29-Jun-2017,ENROLLED,House of Representatives,AN ACT
140,29-Jun-2017,ENROLLED,House of Representatives,AN ACT
580,19-Jul-2017,ENROLLED,House of Representatives,AN ACT
580,19-Jul-2017,ENROLLED,House of Representatives,AN ACT
480,20-Jul-2017,ENROLLED,House of Representatives,AN ACT
480,20-Jul-2017,ENROLLED,House of Representatives,AN ACT
572,24-Jul-2017,ENROLLED,House of Representatives,AN ACT
572,24-Jul-2017,ENROLLED,House of Representatives,AN ACT
572,24-Jul-2017,ENROLLED,House of Representatives,AN ACT
572,24-Jul-2017,ENROLLED,House of Representatives,AN ACT
564,1-Dec-2017,ENROLLED,House of Representatives,AN ACT
564,1-Dec-2017,ENROLLED,House of Representatives,AN ACT
564,8-Feb-2018,ENROLLED,House of Representatives,AN ACT
564,8-Feb-2018,ENROLLED,House of Representatives,AN ACT
564,8-Feb-2018,ENROLLED,House of Representatives,AN ACT
564,8-Feb-2018,ENROLLED,House of Representatives,AN ACT
564,8-Feb-2018,ENROLLED,House of Representatives,AN ACT
564,8-Feb-2018,ENROLLED,House of Representatives,AN ACT
391,26-Mar-2018,ENROLLED,House of Representatives,AN ACT
391,26-Mar-2018,ENROLLED,House of Representatives,AN ACT
553,16-Apr-2018,ENROLLED,House of Representatives,AN ACT
553,16-Apr-2018,ENROLLED,House of Representatives,AN ACT
384,25-Apr-2018,ENROLLED,House of Representatives,AN ACT
384,25-Apr-2018,ENROLLED,House of Representatives,AN ACT
256,17-Sep-2018,ENROLLED,House of Representatives,AN ACT
256,17-Sep-2018,ENROLLED,House of Representatives,AN ACT
473,20-Dec-2018,ENROLLED,House of Representatives,AN ACT
473,20-Dec-2018,ENROLLED,House of Representatives,AN ACT
2,3-Jan-2017,INTRODUCED,Senate,A BILL
459,3-Jan-2017,INTRODUCED,Senate,A BILL
552,3-Jan-2017,INTRODUCED,Senate,A BILL
2,3-Jan-2017,INTRODUCED,Senate,A BILL
459,3-Jan-2017,INTRODUCED,Senate,A BILL
552,3-Jan-2017,INTRODUCED,Senate,A BILL
142,4-Jan-2017,INTRODUCED,Senate,A BILL
142,4-Jan-2017,INTRODUCED,Senate,A BILL
158,10-Jan-2017,INTRODUCED,Senate,A BILL
339,10-Jan-2017,INTRODUCED,Senate,A BILL
158,10-Jan-2017,INTRODUCED,Senate,A BILL
339,10-Jan-2017,INTRODUCED,Senate,A BILL
380,17-Jan-2017,INTRODUCED,Senate,A BILL
500,17-Jan-2017,INTRODUCED,Senate,A BILL
380,17-Jan-2017,INTRODUCED,Senate,A BILL
500,17-Jan-2017,INTRODUCED,Senate,A BILL
379,23-Jan-2017,INTRODUCED,Senate,A BILL
379,23-Jan-2017,INTRODUCED,Senate,A BILL
437,27-Jan-2017,INTRODUCED,Senate,A BILL
449,27-Jan-2017,INTRODUCED,Senate,A BILL
437,27-Jan-2017,INTRODUCED,Senate,A BILL
449,27-Jan-2017,INTRODUCED,Senate,A BILL
146,1-Feb-2017,INTRODUCED,Senate,A BILL
253,1-Feb-2017,INTRODUCED,Senate,A BILL
307,1-Feb-2017,INTRODUCED,Senate,A BILL
146,1-Feb-2017,INTRODUCED,Senate,A BILL
253,1-Feb-2017,INTRODUCED,Senate,A BILL
307,1-Feb-2017,INTRODUCED,Senate,A BILL
446,2-Feb-2017,INTRODUCED,Senate,A BILL
469,2-Feb-2017,INTRODUCED,Senate,A BILL
446,2-Feb-2017,INTRODUCED,Senate,A BILL
469,2-Feb-2017,INTRODUCED,Senate,A BILL
378,6-Feb-2017,INTRODUCED,Senate,A BILL
378,6-Feb-2017,INTRODUCED,Senate,A BILL
403,7-Feb-2017,INTRODUCED,Senate,A BILL
403,7-Feb-2017,INTRODUCED,Senate,A BILL
20,16-Feb-2017,INTRODUCED,Senate,A BILL
497,16-Feb-2017,INTRODUCED,Senate,A BILL
20,16-Feb-2017,INTRODUCED,Senate,A BILL
497,16-Feb-2017,INTRODUCED,Senate,A BILL
5,27-Feb-2017,INTRODUCED,Senate,A BILL
236,27-Feb-2017,INTRODUCED,Senate,A BILL
5,27-Feb-2017,INTRODUCED,Senate,A BILL
236,27-Feb-2017,INTRODUCED,Senate,A BILL
237,28-Feb-2017,INTRODUCED,Senate,A BILL
237,28-Feb-2017,INTRODUCED,Senate,A BILL
84,7-Mar-2017,INTRODUCED,Senate,A BILL
84,7-Mar-2017,INTRODUCED,Senate,A BILL
285,15-Mar-2017,INTRODUCED,Senate,A BILL
503,15-Mar-2017,INTRODUCED,Senate,A BILL
285,15-Mar-2017,INTRODUCED,Senate,A BILL
503,15-Mar-2017,INTRODUCED,Senate,A BILL
23,16-Mar-2017,INTRODUCED,Senate,A BILL
75,16-Mar-2017,INTRODUCED,Senate,A BILL
23,16-Mar-2017,INTRODUCED,Senate,A BILL
75,16-Mar-2017,INTRODUCED,Senate,A BILL
204,21-Mar-2017,INTRODUCED,Senate,A BILL
404,21-Mar-2017,INTRODUCED,Senate,A BILL
204,21-Mar-2017,INTRODUCED,Senate,A BILL
404,21-Mar-2017,INTRODUCED,Senate,A BILL
387,29-Mar-2017,INTRODUCED,Senate,A BILL
387,29-Mar-2017,INTRODUCED,Senate,A BILL
439,4-Apr-2017,INTRODUCED,Senate,A BILL
451,4-Apr-2017,INTRODUCED,Senate,A BILL
439,4-Apr-2017,INTRODUCED,Senate,A BILL
451,4-Apr-2017,INTRODUCED,Senate,A BILL
272,5-Apr-2017,INTRODUCED,Senate,A BILL
334,5-Apr-2017,INTRODUCED,Senate,A BILL
371,5-Apr-2017,INTRODUCED,Senate,A BILL
272,5-Apr-2017,INTRODUCED,Senate,A BILL
334,5-Apr-2017,INTRODUCED,Senate,A BILL
371,5-Apr-2017,INTRODUCED,Senate,A BILL
181,7-Apr-2017,INTRODUCED,Senate,A BILL
181,7-Apr-2017,INTRODUCED,Senate,A BILL
4,14-Apr-2017,INTRODUCED,Senate,A BILL
82,14-Apr-2017,INTRODUCED,Senate,A BILL
4,14-Apr-2017,INTRODUCED,Senate,A BILL
82,14-Apr-2017,INTRODUCED,Senate,A BILL
181,25-Apr-2017,INTRODUCED,Senate,A BILL
181,25-Apr-2017,INTRODUCED,Senate,A BILL
279,26-Apr-2017,INTRODUCED,Senate,A BILL
315,26-Apr-2017,INTRODUCED,Senate,A BILL
279,26-Apr-2017,INTRODUCED,Senate,A BILL
315,26-Apr-2017,INTRODUCED,Senate,A BILL
116,27-Apr-2017,INTRODUCED,Senate,A BILL
316,27-Apr-2017,INTRODUCED,Senate,A BILL
583,27-Apr-2017,INTRODUCED,Senate,A BILL
116,27-Apr-2017,INTRODUCED,Senate,A BILL
316,27-Apr-2017,INTRODUCED,Senate,A BILL
583,27-Apr-2017,INTRODUCED,Senate,A BILL
24,2-May-2017,INTRODUCED,Senate,A BILL
24,2-May-2017,INTRODUCED,Senate,A BILL
420,3-May-2017,INTRODUCED,Senate,A BILL
420,3-May-2017,INTRODUCED,Senate,A BILL
192,4-May-2017,INTRODUCED,Senate,A BILL
296,4-May-2017,INTRODUCED,Senate,A BILL
192,4-May-2017,INTRODUCED,Senate,A BILL
296,4-May-2017,INTRODUCED,Senate,A BILL
397,18-May-2017,INTRODUCED,Senate,A BILL
537,18-May-2017,INTRODUCED,Senate,A BILL
397,18-May-2017,INTRODUCED,Senate,A BILL
537,18-May-2017,INTRODUCED,Senate,A BILL
355,24-May-2017,INTRODUCED,Senate,A BILL
355,24-May-2017,INTRODUCED,Senate,A BILL
153,25-May-2017,INTRODUCED,Senate,A BILL
320,25-May-2017,INTRODUCED,Senate,A BILL
322,25-May-2017,INTRODUCED,Senate,A BILL
153,25-May-2017,INTRODUCED,Senate,A BILL
320,25-May-2017,INTRODUCED,Senate,A BILL
322,25-May-2017,INTRODUCED,Senate,A BILL
31,8-Jun-2017,INTRODUCED,Senate,A BILL
189,8-Jun-2017,INTRODUCED,Senate,A BILL
31,8-Jun-2017,INTRODUCED,Senate,A BILL
189,8-Jun-2017,INTRODUCED,Senate,A BILL
584,22-Jun-2017,INTRODUCED,Senate,A BILL
584,22-Jun-2017,INTRODUCED,Senate,A BILL
499,23-Jun-2017,INTRODUCED,Senate,A BILL
499,23-Jun-2017,INTRODUCED,Senate,A BILL
349,29-Jun-2017,INTRODUCED,Senate,A BILL
349,29-Jun-2017,INTRODUCED,Senate,A BILL
30,13-Jul-2017,INTRODUCED,Senate,A BILL
30,13-Jul-2017,INTRODUCED,Senate,A BILL
479,26-Jul-2017,INTRODUCED,Senate,A BILL
479,26-Jul-2017,INTRODUCED,Senate,A BILL
182,27-Jul-2017,INTRODUCED,Senate,A BILL
341,27-Jul-2017,INTRODUCED,Senate,A BILL
182,27-Jul-2017,INTRODUCED,Senate,A BILL
341,27-Jul-2017,INTRODUCED,Senate,A BILL
208,28-Jul-2017,INTRODUCED,Senate,A BILL
208,28-Jul-2017,INTRODUCED,Senate,A BILL
416,31-Jul-2017,INTRODUCED,Senate,A BILL
416,31-Jul-2017,INTRODUCED,Senate,A BILL
164,1-Aug-2017,INTRODUCED,Senate,A BILL
164,1-Aug-2017,INTRODUCED,Senate,A BILL
199,18-Aug-2017,INTRODUCED,Senate,A BILL
199,18-Aug-2017,INTRODUCED,Senate,A BILL
40,12-Sep-2017,INTRODUCED,Senate,A BILL
426,12-Sep-2017,INTRODUCED,Senate,A BILL
40,12-Sep-2017,INTRODUCED,Senate,A BILL
426,12-Sep-2017,INTRODUCED,Senate,A BILL
356,13-Sep-2017,INTRODUCED,Senate,A BILL
356,13-Sep-2017,INTRODUCED,Senate,A BILL
487,25-Sep-2017,INTRODUCED,Senate,A BILL
487,25-Sep-2017,INTRODUCED,Senate,A BILL
477,26-Sep-2017,INTRODUCED,Senate,A BILL
477,26-Sep-2017,INTRODUCED,Senate,A BILL
582,27-Sep-2017,INTRODUCED,Senate,A BILL
582,27-Sep-2017,INTRODUCED,Senate,A BILL
231,5-Oct-2017,INTRODUCED,Senate,A BILL
302,5-Oct-2017,INTRODUCED,Senate,A BILL
231,5-Oct-2017,INTRODUCED,Senate,A BILL
302,5-Oct-2017,INTRODUCED,Senate,A BILL
34,11-Oct-2017,INTRODUCED,Senate,A BILL
34,11-Oct-2017,INTRODUCED,Senate,A BILL
83,18-Oct-2017,INTRODUCED,Senate,A BILL
83,18-Oct-2017,INTRODUCED,Senate,A BILL
507,6-Nov-2017,INTRODUCED,Senate,A BILL
507,6-Nov-2017,INTRODUCED,Senate,A BILL
79,7-Nov-2017,INTRODUCED,Senate,A BILL
79,7-Nov-2017,INTRODUCED,Senate,A BILL
346,8-Nov-2017,INTRODUCED,Senate,A BILL
346,8-Nov-2017,INTRODUCED,Senate,A BILL
504,16-Nov-2017,INTRODUCED,Senate,A BILL
504,16-Nov-2017,INTRODUCED,Senate,A BILL
421,29-Nov-2017,INTRODUCED,Senate,A BILL
421,29-Nov-2017,INTRODUCED,Senate,A BILL
513,6-Dec-2017,INTRODUCED,Senate,A BILL
513,6-Dec-2017,INTRODUCED,Senate,A BILL
429,7-Dec-2017,INTRODUCED,Senate,A BILL
513,7-Dec-2017,INTRODUCED,Senate,A BILL
513,7-Dec-2017,INTRODUCED,Senate,A BILL
429,7-Dec-2017,INTRODUCED,Senate,A BILL
513,7-Dec-2017,INTRODUCED,Senate,A BILL
513,7-Dec-2017,INTRODUCED,Senate,A BILL
284,21-Dec-2017,INTRODUCED,Senate,A BILL
284,21-Dec-2017,INTRODUCED,Senate,A BILL
515,16-Jan-2018,INTRODUCED,Senate,A BILL
515,16-Jan-2018,INTRODUCED,Senate,A BILL
344,2-Feb-2018,INTRODUCED,Senate,A BILL
344,2-Feb-2018,INTRODUCED,Senate,A BILL
60,7-Feb-2018,INTRODUCED,Senate,A BILL
373,7-Feb-2018,INTRODUCED,Senate,A BILL
374,7-Feb-2018,INTRODUCED,Senate,A BILL
60,7-Feb-2018,INTRODUCED,Senate,A BILL
373,7-Feb-2018,INTRODUCED,Senate,A BILL
374,7-Feb-2018,INTRODUCED,Senate,A BILL
288,13-Feb-2018,INTRODUCED,Senate,A BILL
288,13-Feb-2018,INTRODUCED,Senate,A BILL
336,1-Mar-2018,INTRODUCED,Senate,A BILL
410,1-Mar-2018,INTRODUCED,Senate,A BILL
336,1-Mar-2018,INTRODUCED,Senate,A BILL
410,1-Mar-2018,INTRODUCED,Senate,A BILL
247,7-Mar-2018,INTRODUCED,Senate,A BILL
247,7-Mar-2018,INTRODUCED,Senate,A BILL
446,12-Mar-2018,INTRODUCED,Senate,A BILL
446,12-Mar-2018,INTRODUCED,Senate,A BILL
446,12-Mar-2018,INTRODUCED,Senate,A BILL
446,12-Mar-2018,INTRODUCED,Senate,A BILL
411,19-Mar-2018,INTRODUCED,Senate,A BILL
411,19-Mar-2018,INTRODUCED,Senate,A BILL
365,21-Mar-2018,INTRODUCED,Senate,A BILL
529,21-Mar-2018,INTRODUCED,Senate,A BILL
365,21-Mar-2018,INTRODUCED,Senate,A BILL
529,21-Mar-2018,INTRODUCED,Senate,A BILL
244,11-Apr-2018,INTRODUCED,Senate,A BILL
244,11-Apr-2018,INTRODUCED,Senate,A BILL
544,13-Apr-2018,INTRODUCED,Senate,A BILL
544,13-Apr-2018,INTRODUCED,Senate,A BILL
450,17-Apr-2018,INTRODUCED,Senate,A BILL
450,17-Apr-2018,INTRODUCED,Senate,A BILL
321,19-Apr-2018,INTRODUCED,Senate,A BILL
321,19-Apr-2018,INTRODUCED,Senate,A BILL
225,25-Apr-2018,INTRODUCED,Senate,A BILL
225,25-Apr-2018,INTRODUCED,Senate,A BILL
62,26-Apr-2018,INTRODUCED,Senate,A BILL
62,26-Apr-2018,INTRODUCED,Senate,A BILL
330,10-May-2018,INTRODUCED,Senate,A BILL
330,10-May-2018,INTRODUCED,Senate,A BILL
415,11-May-2018,INTRODUCED,Senate,A BILL
415,11-May-2018,INTRODUCED,Senate,A BILL
224,15-May-2018,INTRODUCED,Senate,A BILL
226,15-May-2018,INTRODUCED,Senate,A BILL
224,15-May-2018,INTRODUCED,Senate,A BILL
226,15-May-2018,INTRODUCED,Senate,A BILL
291,23-May-2018,INTRODUCED,Senate,A BILL
291,23-May-2018,INTRODUCED,Senate,A BILL
119,1-Jun-2018,INTRODUCED,Senate,A BILL
119,1-Jun-2018,INTRODUCED,Senate,A BILL
447,5-Jun-2018,INTRODUCED,Senate,A BILL
447,5-Jun-2018,INTRODUCED,Senate,A BILL
294,14-Jun-2018,INTRODUCED,Senate,A BILL
294,14-Jun-2018,INTRODUCED,Senate,A BILL
205,18-Jun-2018,INTRODUCED,Senate,A BILL
205,18-Jun-2018,INTRODUCED,Senate,A BILL
300,21-Jun-2018,INTRODUCED,Senate,A BILL
423,21-Jun-2018,INTRODUCED,Senate,A BILL
300,21-Jun-2018,INTRODUCED,Senate,A BILL
423,21-Jun-2018,INTRODUCED,Senate,A BILL
105,28-Jun-2018,INTRODUCED,Senate,A BILL
105,28-Jun-2018,INTRODUCED,Senate,A BILL
299,11-Jul-2018,INTRODUCED,Senate,A BILL
299,11-Jul-2018,INTRODUCED,Senate,A BILL
71,12-Jul-2018,INTRODUCED,Senate,A BILL
71,12-Jul-2018,INTRODUCED,Senate,A BILL
9,16-Jul-2018,INTRODUCED,Senate,A BILL
9,16-Jul-2018,INTRODUCED,Senate,A BILL
472,17-Jul-2018,INTRODUCED,Senate,A BILL
472,17-Jul-2018,INTRODUCED,Senate,A BILL
52,24-Jul-2018,INTRODUCED,Senate,A BILL
77,24-Jul-2018,INTRODUCED,Senate,A BILL
52,24-Jul-2018,INTRODUCED,Senate,A BILL
77,24-Jul-2018,INTRODUCED,Senate,A BILL
102,26-Jul-2018,INTRODUCED,Senate,A BILL
102,26-Jul-2018,INTRODUCED,Senate,A BILL
369,14-Aug-2018,INTRODUCED,Senate,A BILL
369,14-Aug-2018,INTRODUCED,Senate,A BILL
69,12-Sep-2018,INTRODUCED,Senate,A BILL
69,12-Sep-2018,INTRODUCED,Senate,A BILL
37,26-Sep-2018,INTRODUCED,Senate,A BILL
337,26-Sep-2018,INTRODUCED,Senate,A BILL
37,26-Sep-2018,INTRODUCED,Senate,A BILL
337,26-Sep-2018,INTRODUCED,Senate,A BILL
444,27-Sep-2018,INTRODUCED,Senate,A BILL
444,27-Sep-2018,INTRODUCED,Senate,A BILL
475,28-Sep-2018,INTRODUCED,Senate,A BILL
566,28-Sep-2018,INTRODUCED,Senate,A BILL
475,28-Sep-2018,INTRODUCED,Senate,A BILL
566,28-Sep-2018,INTRODUCED,Senate,A BILL
389,16-Oct-2018,INTRODUCED,Senate,A BILL
389,16-Oct-2018,INTRODUCED,Senate,A BILL
348,14-Nov-2018,INTRODUCED,Senate,A BILL
348,14-Nov-2018,INTRODUCED,Senate,A BILL
103,15-Nov-2018,INTRODUCED,Senate,A BILL
531,15-Nov-2018,INTRODUCED,Senate,A BILL
103,15-Nov-2018,INTRODUCED,Senate,A BILL
531,15-Nov-2018,INTRODUCED,Senate,A BILL
531,26-Nov-2018,INTRODUCED,Senate,A BILL
531,26-Nov-2018,INTRODUCED,Senate,A BILL
531,26-Nov-2018,INTRODUCED,Senate,A BILL
531,26-Nov-2018,INTRODUCED,Senate,A BILL
274,27-Nov-2018,INTRODUCED,Senate,A BILL
274,27-Nov-2018,INTRODUCED,Senate,A BILL
302,4-Dec-2018,INTRODUCED,Senate,A BILL
302,4-Dec-2018,INTRODUCED,Senate,A BILL
302,4-Dec-2018,INTRODUCED,Senate,A BILL
302,4-Dec-2018,INTRODUCED,Senate,A BILL
329,11-Dec-2018,INTRODUCED,Senate,A BILL
329,11-Dec-2018,INTRODUCED,Senate,A BILL
273,5-Apr-2021,INTRODUCED,Senate,A BILL
331,5-Apr-2021,INTRODUCED,Senate,A BILL
538,5-Apr-2021,INTRODUCED,Senate,A BILL
273,5-Apr-2021,INTRODUCED,Senate,A BILL
331,5-Apr-2021,INTRODUCED,Senate,A BILL
538,5-Apr-2021,INTRODUCED,Senate,A BILL
463,18-Dec-2018,INTRODUCED,Senate,A BILL
463,18-Dec-2018,INTRODUCED,Senate,A BILL
8,3-Jan-2017,INTRODUCED,House of Representatives,A BILL
56,3-Jan-2017,INTRODUCED,House of Representatives,A BILL
409,3-Jan-2017,INTRODUCED,House of Representatives,A BILL
8,3-Jan-2017,INTRODUCED,House of Representatives,A BILL
56,3-Jan-2017,INTRODUCED,House of Representatives,A BILL
409,3-Jan-2017,INTRODUCED,House of Representatives,A BILL
551,4-Jan-2017,INTRODUCED,House of Representatives,A BILL
551,4-Jan-2017,INTRODUCED,House of Representatives,A BILL
6,5-Jan-2017,INTRODUCED,House of Representatives,A BILL
6,5-Jan-2017,INTRODUCED,House of Representatives,A BILL
454,6-Jan-2017,INTRODUCED,House of Representatives,A BILL
454,6-Jan-2017,INTRODUCED,House of Representatives,A BILL
323,12-Jan-2017,INTRODUCED,House of Representatives,A BILL
359,12-Jan-2017,INTRODUCED,House of Representatives,A BILL
323,12-Jan-2017,INTRODUCED,House of Representatives,A BILL
359,12-Jan-2017,INTRODUCED,House of Representatives,A BILL
394,13-Jan-2017,INTRODUCED,House of Representatives,A BILL
394,13-Jan-2017,INTRODUCED,House of Representatives,A BILL
248,17-Jan-2017,INTRODUCED,House of Representatives,A BILL
248,17-Jan-2017,INTRODUCED,House of Representatives,A BILL
28,24-Jan-2017,INTRODUCED,House of Representatives,A BILL
251,24-Jan-2017,INTRODUCED,House of Representatives,A BILL
254,24-Jan-2017,INTRODUCED,House of Representatives,A BILL
358,24-Jan-2017,INTRODUCED,House of Representatives,A BILL
28,24-Jan-2017,INTRODUCED,House of Representatives,A BILL
251,24-Jan-2017,INTRODUCED,House of Representatives,A BILL
254,24-Jan-2017,INTRODUCED,House of Representatives,A BILL
358,24-Jan-2017,INTRODUCED,House of Representatives,A BILL
57,27-Jan-2017,INTRODUCED,House of Representatives,A BILL
57,27-Jan-2017,INTRODUCED,House of Representatives,A BILL
80,30-Jan-2017,INTRODUCED,House of Representatives,A BILL
118,30-Jan-2017,INTRODUCED,House of Representatives,A BILL
80,30-Jan-2017,INTRODUCED,House of Representatives,A BILL
118,30-Jan-2017,INTRODUCED,House of Representatives,A BILL
470,2-Feb-2017,INTRODUCED,House of Representatives,A BILL
470,2-Feb-2017,INTRODUCED,House of Representatives,A BILL
198,3-Feb-2017,INTRODUCED,House of Representatives,A BILL
207,3-Feb-2017,INTRODUCED,House of Representatives,A BILL
198,3-Feb-2017,INTRODUCED,House of Representatives,A BILL
207,3-Feb-2017,INTRODUCED,House of Representatives,A BILL
267,7-Feb-2017,INTRODUCED,House of Representatives,A BILL
511,7-Feb-2017,INTRODUCED,House of Representatives,A BILL
267,7-Feb-2017,INTRODUCED,House of Representatives,A BILL
511,7-Feb-2017,INTRODUCED,House of Representatives,A BILL
198,10-Feb-2017,INTRODUCED,House of Representatives,A BILL
198,10-Feb-2017,INTRODUCED,House of Representatives,A BILL
357,13-Feb-2017,INTRODUCED,House of Representatives,A BILL
357,13-Feb-2017,INTRODUCED,House of Representatives,A BILL
484,15-Feb-2017,INTRODUCED,House of Representatives,A BILL
484,15-Feb-2017,INTRODUCED,House of Representatives,A BILL
209,16-Feb-2017,INTRODUCED,House of Representatives,A BILL
